id,REGISTRO_CAMARA_COMERCIO,REGISTRO_SUPERINTENDENCIA,TIPO_HABITACION,HORARIO_ADMIN_INICIAL,HORARIO_ADMIN_FINAL,TAMANO,UBICACION,CANTIDAD_NOCHES,CAPACIDAD_MAXIMA
485,Duis ac nibh.,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",compartida,3,9,pequeño,61143 2nd Center,18,41
486,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,compartida,10,16,pequeño,68786 Lindbergh Junction,11,9
487,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Duis at velit eu est congue elementum.,compartida,9,15,pequeño,55 Cordelia Plaza,15,32
488,Proin eu mi. Nulla ac enim.,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",sencilla,4,10,pequeño,2708 Evergreen Point,8,20
489,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,In sagittis dui vel nisl.,sencilla,1,7,mediano,5 Mcguire Park,11,28
490,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",compartida,10,16,pequeño,42 Surrey Avenue,15,40
491,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,compartida,7,13,pequeño,12510 Kim Plaza,2,13
492,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",compartida,4,10,grande,90757 Beilfuss Crossing,9,34
493,Morbi a ipsum. Integer a nibh. In quis justo.,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,compartida,2,8,pequeño,8 Riverside Circle,12,28
494,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.","Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",sencilla,1,7,pequeño,5087 Moland Way,19,16
495,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",compartida,3,9,grande,17 Eliot Court,1,38
496,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Nam dui.,sencilla,5,11,pequeño,5845 Victoria Hill,11,18
497,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Sed ante. Vivamus tortor. Duis mattis egestas metus.,sencilla,2,8,mediano,43 Mosinee Place,3,6
498,Fusce consequat.,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,sencilla,3,9,grande,1 Loomis Center,18,31
499,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",Praesent id massa id nisl venenatis lacinia.,compartida,5,11,pequeño,20012 Shopko Lane,7,44
500,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Integer a nibh. In quis justo.,sencilla,1,7,mediano,158 Graedel Park,6,14
501,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.","Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",sencilla,6,12,pequeño,37 Sachtjen Lane,15,39
502,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,sencilla,1,7,pequeño,17 Eastwood Center,18,4
503,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",sencilla,5,11,mediano,4 Russell Road,3,25
504,Morbi ut odio.,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",sencilla,8,14,mediano,176 Nelson Lane,9,8
505,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,Nullam porttitor lacus at turpis.,sencilla,6,12,grande,6818 Little Fleur Circle,3,48
506,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,sencilla,3,9,pequeño,7 Northland Point,5,2
507,Fusce consequat. Nulla nisl. Nunc nisl.,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",sencilla,2,8,pequeño,27645 Spohn Pass,16,14
508,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,compartida,7,13,grande,02144 Jana Parkway,14,8
509,Aenean fermentum.,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",sencilla,9,15,mediano,0573 Fisk Avenue,7,15
510,Integer ac leo. Pellentesque ultrices mattis odio.,Pellentesque eget nunc.,sencilla,8,14,grande,63 American Ash Center,4,27
511,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Nulla facilisi.,sencilla,5,11,pequeño,767 Barby Parkway,3,13
512,Vivamus tortor.,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",compartida,10,16,grande,17 Meadow Vale Pass,7,19
513,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Pellentesque at nulla.,sencilla,2,8,mediano,6 Maryland Place,19,41
514,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Proin eu mi. Nulla ac enim.,compartida,2,8,mediano,036 Fairview Crossing,16,48
515,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.","Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",sencilla,10,16,pequeño,313 Declaration Park,7,22
516,Nulla nisl.,Etiam faucibus cursus urna. Ut tellus.,sencilla,4,10,pequeño,46 Mcbride Way,20,45
517,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,Duis bibendum.,sencilla,2,8,grande,81136 Annamark Parkway,13,20
518,Nulla nisl. Nunc nisl.,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",sencilla,2,8,grande,71 Morningstar Way,4,22
519,In quis justo. Maecenas rhoncus aliquam lacus.,Integer ac neque. Duis bibendum.,sencilla,10,16,pequeño,5 Aberg Terrace,3,18
520,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",compartida,4,10,grande,8 Sheridan Trail,6,44
521,Nunc purus.,Ut at dolor quis odio consequat varius. Integer ac leo.,compartida,2,8,pequeño,6 Chive Avenue,7,35
522,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Nam nulla.,sencilla,4,10,mediano,3003 Old Gate Court,9,26
523,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,Suspendisse accumsan tortor quis turpis. Sed ante.,sencilla,1,7,pequeño,6813 Mcbride Way,1,35
524,Nullam varius.,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",sencilla,7,13,grande,2498 Marquette Trail,14,26
525,Nulla suscipit ligula in lacus.,Pellentesque viverra pede ac diam.,sencilla,6,12,mediano,43 Magdeline Plaza,16,20
526,Nunc purus. Phasellus in felis.,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,compartida,5,11,grande,3342 Carpenter Pass,19,8
527,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,sencilla,3,9,pequeño,36 Corben Place,18,42
528,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,Donec vitae nisi.,compartida,7,13,mediano,3124 8th Drive,15,19
529,Mauris sit amet eros.,Fusce posuere felis sed lacus.,sencilla,2,8,grande,0 1st Drive,15,29
530,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.","Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",sencilla,10,16,mediano,15 Duke Junction,20,31
531,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,Morbi ut odio.,sencilla,5,11,mediano,14 Raven Road,8,43
532,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Suspendisse potenti.,compartida,4,10,mediano,320 Manitowish Center,3,39
533,Nunc purus. Phasellus in felis. Donec semper sapien a libero.,Etiam faucibus cursus urna.,sencilla,10,16,mediano,00999 Sundown Court,15,34
534,Integer a nibh. In quis justo.,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,compartida,3,9,grande,113 Lake View Plaza,18,9
535,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,Quisque porta volutpat erat.,compartida,7,13,pequeño,2 Lukken Pass,17,27
536,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Fusce posuere felis sed lacus.,compartida,8,14,pequeño,8 Spohn Lane,14,2
537,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Pellentesque ultrices mattis odio.,compartida,3,9,pequeño,30129 Lerdahl Lane,9,38
538,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Maecenas tincidunt lacus at velit.,sencilla,3,9,grande,028 Everett Court,4,26
539,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.","Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",compartida,1,7,mediano,1 American Ash Crossing,4,7
540,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.","Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",sencilla,5,11,mediano,5050 Derek Pass,13,23
541,Nunc purus. Phasellus in felis.,Proin at turpis a pede posuere nonummy.,compartida,6,12,pequeño,269 Basil Trail,2,48
542,Nulla nisl. Nunc nisl.,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,sencilla,3,9,pequeño,00647 Lakeland Court,2,6
543,Ut tellus. Nulla ut erat id mauris vulputate elementum.,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",sencilla,6,12,pequeño,670 Westend Hill,11,21
544,Mauris ullamcorper purus sit amet nulla.,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",compartida,4,10,pequeño,269 Claremont Pass,12,46
545,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.","Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",compartida,8,14,pequeño,1 Graceland Way,16,44
546,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",sencilla,3,9,pequeño,27 Northview Circle,7,11
547,Vestibulum rutrum rutrum neque.,Nulla mollis molestie lorem. Quisque ut erat.,sencilla,8,14,pequeño,21353 Old Gate Lane,16,5
548,Aliquam erat volutpat. In congue. Etiam justo.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",compartida,9,15,grande,382 Forest Run Road,19,20
549,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Mauris lacinia sapien quis libero.,sencilla,8,14,pequeño,59944 Almo Drive,6,42
550,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,Pellentesque eget nunc.,sencilla,4,10,mediano,45317 Meadow Valley Hill,8,3
551,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",compartida,2,8,mediano,144 Morning Crossing,19,23
552,Duis consequat dui nec nisi volutpat eleifend.,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,sencilla,10,16,pequeño,1 Marquette Parkway,20,45
553,Phasellus id sapien in sapien iaculis congue.,Suspendisse potenti. In eleifend quam a odio.,compartida,7,13,mediano,514 Shelley Way,15,6
554,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,Etiam faucibus cursus urna.,compartida,6,12,mediano,809 Warrior Point,20,46
555,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,Aenean fermentum.,compartida,3,9,pequeño,13589 Debs Place,20,20
556,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",sencilla,7,13,pequeño,8423 Moose Way,17,4
557,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",compartida,7,13,pequeño,6 Sugar Street,5,31
558,Aenean lectus. Pellentesque eget nunc.,Vestibulum rutrum rutrum neque.,compartida,5,11,grande,36743 Nelson Lane,20,23
559,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,sencilla,1,7,pequeño,835 Dapin Alley,7,35
560,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",sencilla,8,14,grande,276 6th Parkway,5,41
561,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,compartida,6,12,mediano,7830 American Street,17,37
562,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,sencilla,9,15,pequeño,6 6th Center,15,10
563,In quis justo.,Nulla nisl. Nunc nisl.,sencilla,4,10,grande,155 Schmedeman Junction,2,20
564,In congue. Etiam justo. Etiam pretium iaculis justo.,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",compartida,8,14,pequeño,2684 Forest Dale Trail,7,13
565,Phasellus sit amet erat.,Duis bibendum. Morbi non quam nec dui luctus rutrum.,sencilla,1,7,pequeño,171 Graceland Point,18,15
566,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,compartida,6,12,grande,1 Tennyson Hill,18,47
567,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",compartida,10,16,pequeño,2185 Oakridge Place,5,3
568,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.","Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",compartida,9,15,mediano,4 Green Ridge Avenue,16,11
569,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,compartida,9,15,pequeño,41639 Kingsford Plaza,9,39
570,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,In quis justo.,sencilla,8,14,mediano,12 Brown Trail,16,47
571,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,sencilla,1,7,mediano,5 Hoepker Place,12,8
572,Nulla nisl.,Praesent blandit. Nam nulla.,compartida,6,12,pequeño,3530 Muir Park,14,14
573,Suspendisse ornare consequat lectus.,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",sencilla,6,12,grande,5 Sutteridge Alley,16,50
574,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.","Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",sencilla,10,16,mediano,553 Mallard Street,20,33
575,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Proin at turpis a pede posuere nonummy.,compartida,5,11,grande,059 Oakridge Drive,16,27
576,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.","Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",compartida,7,13,mediano,63045 Fair Oaks Street,18,5
577,Vestibulum ac est lacinia nisi venenatis tristique.,Nunc purus.,compartida,8,14,mediano,426 Parkside Way,15,4
578,In sagittis dui vel nisl.,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",sencilla,10,16,pequeño,9579 Schlimgen Road,7,41
579,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Duis consequat dui nec nisi volutpat eleifend.,sencilla,5,11,grande,41 Hanson Circle,10,24
580,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Suspendisse potenti.,compartida,5,11,mediano,13 Waubesa Place,12,19
581,Nunc rhoncus dui vel sem. Sed sagittis.,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",compartida,10,16,pequeño,6040 Katie Alley,10,50
582,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",Aenean lectus.,sencilla,8,14,pequeño,9312 Jackson Way,2,45
583,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Etiam pretium iaculis justo. In hac habitasse platea dictumst.,compartida,2,8,pequeño,56 Almo Terrace,10,10
584,Sed vel enim sit amet nunc viverra dapibus.,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,compartida,6,12,pequeño,347 Marquette Place,15,39
585,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,Aenean sit amet justo.,compartida,9,15,pequeño,17 Golden Leaf Place,7,47
586,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Ut at dolor quis odio consequat varius. Integer ac leo.,sencilla,10,16,pequeño,79 East Center,15,24
587,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.","Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",compartida,2,8,grande,5 Onsgard Pass,1,11
588,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",In eleifend quam a odio.,compartida,5,11,pequeño,60305 Almo Plaza,9,47
589,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",sencilla,8,14,pequeño,16 Golden Leaf Pass,20,31
590,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,sencilla,2,8,pequeño,4 Parkside Drive,5,11
591,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,Etiam justo. Etiam pretium iaculis justo.,compartida,6,12,grande,4 Dovetail Street,6,19
592,In eleifend quam a odio.,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",compartida,4,10,pequeño,23298 Dahle Way,8,10
593,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",compartida,8,14,grande,74846 Havey Pass,4,48
594,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.","Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",sencilla,9,15,grande,25928 Arkansas Avenue,15,35
595,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.","Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",compartida,2,8,grande,8862 Schiller Pass,1,43
596,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,compartida,4,10,pequeño,63 Steensland Alley,8,12
597,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Suspendisse accumsan tortor quis turpis. Sed ante.,sencilla,7,13,mediano,246 Jackson Court,14,19
598,Duis bibendum. Morbi non quam nec dui luctus rutrum.,Vivamus tortor.,sencilla,5,11,pequeño,951 Scofield Point,20,4
599,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",compartida,4,10,pequeño,12 Gerald Pass,16,50
600,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,sencilla,1,7,mediano,3868 Hanover Pass,1,37
601,In hac habitasse platea dictumst.,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",compartida,10,16,pequeño,35294 Myrtle Court,5,3
602,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,Pellentesque at nulla. Suspendisse potenti.,compartida,3,9,grande,0 Milwaukee Avenue,19,13
603,Nullam sit amet turpis elementum ligula vehicula consequat.,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,sencilla,5,11,pequeño,526 Hoffman Street,9,5
604,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",In eleifend quam a odio.,compartida,4,10,grande,93 Dottie Trail,15,9
605,Nulla mollis molestie lorem. Quisque ut erat.,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,compartida,3,9,pequeño,90651 Hudson Street,9,50
606,Nulla mollis molestie lorem.,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",compartida,3,9,pequeño,8 Vidon Terrace,4,49
607,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,compartida,6,12,grande,2 Independence Plaza,14,4
608,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",Vivamus tortor. Duis mattis egestas metus.,sencilla,10,16,pequeño,749 Buhler Crossing,13,28
609,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.","In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",compartida,3,9,pequeño,64 Daystar Way,9,47
610,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",In blandit ultrices enim.,compartida,2,8,grande,98950 La Follette Plaza,20,23
611,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.","Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",compartida,7,13,pequeño,65 Glendale Road,5,27
