id,REGISTRO_CAMARA_COMERCIO,REGISTRO_SUPERINTENDENCIA,TIPO_HABITACION,HORARIO_ADMIN_24H,TAMANO,UBICACION,CANTIDAD_NOCHES,CAPACIDAD_MAXIMA
321,Proin interdum mauris non ligula pellentesque ultrices.,Integer ac leo. Pellentesque ultrices mattis odio.,suite,0,pequeño,10600 Hollow Ridge Plaza,2,3
322,Duis bibendum. Morbi non quam nec dui luctus rutrum.,Nunc rhoncus dui vel sem. Sed sagittis.,suite,0,pequeño,5562 Dryden Drive,11,4
323,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,semisuite,1,pequeño,3240 Miller Crossing,18,6
324,Pellentesque viverra pede ac diam.,Cras in purus eu magna vulputate luctus.,semisuite,0,pequeño,82112 Mcguire Pass,16,3
325,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,Duis bibendum. Morbi non quam nec dui luctus rutrum.,suite,1,grande,798 Lerdahl Parkway,11,4
326,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,Maecenas tincidunt lacus at velit.,estandar,0,pequeño,5247 Kingsford Crossing,16,6
327,Quisque id justo sit amet sapien dignissim vestibulum.,Morbi vel lectus in quam fringilla rhoncus.,suite,0,grande,5 Stephen Junction,2,5
328,Morbi non quam nec dui luctus rutrum.,Donec dapibus. Duis at velit eu est congue elementum.,estandar,0,mediano,31766 Macpherson Way,12,3
329,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Pellentesque at nulla. Suspendisse potenti.,suite,1,pequeño,55 Oak Parkway,7,4
330,Aliquam erat volutpat.,Quisque ut erat. Curabitur gravida nisi at nibh.,suite,1,pequeño,6739 Rieder Avenue,8,3
331,Pellentesque at nulla. Suspendisse potenti.,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",estandar,1,pequeño,36900 Everett Alley,13,2
332,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.","Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",suite,1,mediano,6883 Petterle Hill,17,2
333,Integer tincidunt ante vel ipsum.,Praesent blandit. Nam nulla.,estandar,0,pequeño,777 Meadow Valley Alley,14,4
334,Quisque ut erat.,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",semisuite,0,mediano,4 Meadow Vale Avenue,17,2
335,Duis aliquam convallis nunc.,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",semisuite,0,grande,0966 Oriole Street,16,6
336,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Maecenas ut massa quis augue luctus tincidunt.,estandar,0,pequeño,63881 Tomscot Hill,1,5
337,Nulla justo.,Donec posuere metus vitae ipsum.,semisuite,0,pequeño,400 Meadow Vale Point,4,5
338,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",In hac habitasse platea dictumst.,suite,0,grande,729 Schurz Way,1,2
339,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,Sed vel enim sit amet nunc viverra dapibus.,suite,1,pequeño,209 Novick Hill,7,4
340,Mauris sit amet eros.,Phasellus in felis. Donec semper sapien a libero.,estandar,0,mediano,77 Paget Street,19,3
341,Nulla nisl. Nunc nisl.,Suspendisse potenti. Nullam porttitor lacus at turpis.,semisuite,1,grande,10 Vahlen Place,9,5
342,Duis mattis egestas metus. Aenean fermentum.,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",suite,0,pequeño,44016 Bellgrove Alley,10,5
343,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,Nulla nisl.,semisuite,0,mediano,34398 Johnson Center,15,3
344,Vivamus in felis eu sapien cursus vestibulum.,Nulla facilisi.,semisuite,1,mediano,7 Waxwing Lane,12,5
345,Etiam vel augue. Vestibulum rutrum rutrum neque.,In eleifend quam a odio.,suite,1,grande,2051 Raven Hill,3,4
346,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.","Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",suite,1,grande,0842 Pearson Avenue,5,2
347,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",Cras pellentesque volutpat dui.,suite,1,pequeño,00 Fairview Place,8,5
348,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,Nullam molestie nibh in lectus.,suite,0,pequeño,65592 Everett Junction,10,4
349,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,Duis at velit eu est congue elementum.,suite,1,mediano,4310 Kingsford Center,8,2
350,In hac habitasse platea dictumst.,Pellentesque eget nunc.,suite,1,mediano,40907 Waywood Park,17,2
351,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Fusce consequat. Nulla nisl.,semisuite,0,pequeño,249 North Street,15,2
352,Integer tincidunt ante vel ipsum.,Donec ut mauris eget massa tempor convallis.,suite,1,pequeño,85663 Hintze Point,7,6
353,Duis mattis egestas metus.,Nullam molestie nibh in lectus. Pellentesque at nulla.,suite,1,pequeño,154 Sauthoff Junction,2,2
354,Proin at turpis a pede posuere nonummy. Integer non velit.,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",estandar,0,mediano,999 Monterey Junction,1,5
355,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Ut at dolor quis odio consequat varius. Integer ac leo.,suite,1,pequeño,421 Toban Alley,13,4
356,Duis bibendum. Morbi non quam nec dui luctus rutrum.,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",suite,0,pequeño,68134 Scoville Street,10,3
357,Praesent blandit. Nam nulla.,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",estandar,0,pequeño,2 Kinsman Trail,20,5
358,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.","Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",semisuite,0,pequeño,1910 Paget Trail,19,3
359,Integer tincidunt ante vel ipsum.,Phasellus sit amet erat. Nulla tempus.,suite,0,grande,5859 Heath Junction,12,5
360,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Mauris ullamcorper purus sit amet nulla.,semisuite,1,pequeño,20 Hansons Street,5,3
361,Phasellus in felis.,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,suite,1,pequeño,796 Judy Road,14,2
362,Aliquam erat volutpat.,Morbi a ipsum.,semisuite,0,pequeño,5 Banding Circle,17,3
363,Sed sagittis.,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,suite,0,pequeño,7 Ludington Parkway,10,2
364,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,Curabitur at ipsum ac tellus semper interdum.,suite,0,pequeño,19 Thompson Crossing,20,5
365,Proin eu mi.,In eleifend quam a odio.,estandar,0,pequeño,022 Miller Terrace,4,3
366,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.","Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",suite,1,grande,07096 Dovetail Way,20,4
367,Ut at dolor quis odio consequat varius.,Fusce consequat.,semisuite,0,pequeño,425 Emmet Terrace,10,6
368,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,estandar,0,mediano,6 Parkside Center,13,2
369,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",semisuite,1,pequeño,25 Harbort Street,10,5
370,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,semisuite,0,pequeño,438 Graedel Park,19,3
371,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Vivamus tortor.,suite,0,pequeño,4 Hanover Hill,13,4
372,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Pellentesque at nulla.,suite,1,pequeño,164 5th Drive,12,3
373,In hac habitasse platea dictumst.,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",suite,1,mediano,3 Dorton Center,16,3
374,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",suite,1,pequeño,60279 Bashford Terrace,15,4
375,In sagittis dui vel nisl. Duis ac nibh.,Pellentesque eget nunc.,suite,0,pequeño,904 Susan Pass,8,6
376,Duis aliquam convallis nunc.,Donec ut mauris eget massa tempor convallis.,semisuite,0,mediano,9 Farragut Point,2,5
377,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.","Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",estandar,1,mediano,4 Sachtjen Trail,8,6
378,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",Praesent lectus.,estandar,1,grande,281 Canary Avenue,6,3
379,Aenean sit amet justo. Morbi ut odio.,Praesent blandit. Nam nulla.,semisuite,0,mediano,538 Goodland Terrace,2,5
380,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.","In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",suite,1,grande,0 Stang Hill,10,5
381,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.","Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",semisuite,0,pequeño,3 Claremont Way,4,5
382,Aliquam erat volutpat.,Suspendisse potenti.,suite,1,grande,03 Mayer Trail,16,4
383,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",suite,1,pequeño,53635 Park Meadow Lane,15,3
384,Proin eu mi.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",estandar,1,pequeño,8956 Canary Parkway,2,3
385,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",suite,0,grande,88387 Blue Bill Park Avenue,3,4
386,Donec posuere metus vitae ipsum. Aliquam non mauris.,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",suite,1,pequeño,61 Jana Center,1,6
387,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,semisuite,1,grande,666 Kinsman Center,12,2
388,Suspendisse potenti.,Duis bibendum.,semisuite,0,mediano,4 Lillian Crossing,5,3
389,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Curabitur convallis.,semisuite,1,mediano,9827 Bluestem Circle,19,6
390,Nulla ut erat id mauris vulputate elementum.,Nam dui.,suite,0,grande,089 John Wall Place,19,6
391,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",suite,0,pequeño,46 Summer Ridge Trail,8,3
392,Aliquam non mauris.,Nulla nisl. Nunc nisl.,suite,1,pequeño,88 Columbus Trail,2,5
393,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.","Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",suite,0,mediano,1724 Village Terrace,17,3
394,Proin eu mi. Nulla ac enim.,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",estandar,1,pequeño,106 Dottie Hill,16,4
395,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.","Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",suite,0,grande,66186 Wayridge Court,16,2
396,In hac habitasse platea dictumst.,Etiam faucibus cursus urna. Ut tellus.,semisuite,0,pequeño,83 Shasta Way,15,3
397,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",suite,0,pequeño,139 Carey Road,16,5
398,Duis aliquam convallis nunc.,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,suite,1,mediano,496 Stephen Circle,2,2
399,In hac habitasse platea dictumst.,In eleifend quam a odio. In hac habitasse platea dictumst.,suite,0,pequeño,51721 Carpenter Court,19,5
400,Quisque porta volutpat erat.,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,suite,0,pequeño,59764 Eggendart Road,2,6
401,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Pellentesque viverra pede ac diam.,suite,1,pequeño,09020 Garrison Court,8,4
402,Nullam molestie nibh in lectus.,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,suite,0,pequeño,460 Carey Avenue,17,6
403,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.","Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",suite,0,grande,4 Northland Trail,12,6
404,Nullam molestie nibh in lectus. Pellentesque at nulla.,Integer ac leo. Pellentesque ultrices mattis odio.,semisuite,1,pequeño,90069 Mallory Alley,9,3
405,Morbi porttitor lorem id ligula.,Integer a nibh. In quis justo.,semisuite,0,grande,84 Meadow Vale Avenue,8,2
406,Pellentesque eget nunc.,Proin eu mi. Nulla ac enim.,suite,1,pequeño,86927 Holy Cross Road,14,3
407,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,semisuite,0,grande,4 Hoard Hill,14,2
408,Vivamus tortor. Duis mattis egestas metus.,Ut tellus.,suite,1,pequeño,06417 Lakewood Gardens Alley,1,2
409,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Pellentesque at nulla. Suspendisse potenti.,suite,1,pequeño,7 Mallard Parkway,2,2
410,Morbi non quam nec dui luctus rutrum.,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",suite,0,grande,199 2nd Road,1,4
411,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,Etiam pretium iaculis justo.,suite,0,mediano,54830 Hoard Place,19,5
412,Aenean fermentum.,Quisque porta volutpat erat.,suite,0,mediano,16 Westport Plaza,12,3
413,Suspendisse potenti. In eleifend quam a odio.,Phasellus in felis.,suite,1,mediano,29342 Fulton Avenue,17,3
414,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,suite,0,pequeño,99 Maryland Place,4,2
415,Aliquam sit amet diam in magna bibendum imperdiet.,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",suite,1,pequeño,0630 Shelley Circle,9,3
416,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Nunc rhoncus dui vel sem. Sed sagittis.,estandar,0,pequeño,411 International Street,1,6
417,Mauris ullamcorper purus sit amet nulla.,Suspendisse ornare consequat lectus.,semisuite,1,pequeño,4 Transport Pass,13,6
418,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,semisuite,1,grande,29 Grim Park,16,3
419,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,Etiam pretium iaculis justo.,suite,1,grande,906 Holmberg Way,12,4
420,Aliquam sit amet diam in magna bibendum imperdiet.,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",suite,1,pequeño,7327 Muir Drive,15,3
421,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Donec ut dolor.,semisuite,1,pequeño,47 Anniversary Circle,4,4
422,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",Suspendisse potenti. In eleifend quam a odio.,suite,1,pequeño,522 Warbler Lane,8,2
423,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Vestibulum rutrum rutrum neque.,suite,1,pequeño,7352 Ludington Drive,5,2
424,Morbi porttitor lorem id ligula.,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",estandar,0,grande,573 Grim Alley,10,3
425,Proin at turpis a pede posuere nonummy.,Nam tristique tortor eu pede.,suite,0,grande,85926 Susan Avenue,15,2
426,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",suite,1,mediano,84414 Anhalt Point,4,5
427,Etiam faucibus cursus urna.,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,estandar,1,pequeño,7 3rd Trail,11,4
428,Nam nulla.,Proin at turpis a pede posuere nonummy.,estandar,0,grande,55741 Monument Court,19,3
429,Nullam varius. Nulla facilisi.,Integer ac neque.,estandar,0,mediano,7128 Bultman Alley,13,5
430,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,semisuite,1,grande,857 Veith Trail,9,6
431,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.","Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",estandar,0,grande,86587 Mosinee Alley,6,2
432,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Praesent blandit.,suite,0,pequeño,18 Namekagon Park,20,4
433,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Nulla justo.,semisuite,1,grande,66576 Calypso Avenue,13,5
434,Proin interdum mauris non ligula pellentesque ultrices.,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,suite,1,pequeño,1 Ronald Regan Hill,17,2
435,Duis mattis egestas metus.,Morbi quis tortor id nulla ultrices aliquet.,semisuite,1,mediano,4264 Ilene Alley,10,3
436,Quisque ut erat. Curabitur gravida nisi at nibh.,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",estandar,1,grande,172 Sloan Terrace,12,5
437,Proin interdum mauris non ligula pellentesque ultrices.,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",suite,0,pequeño,410 International Way,3,4
438,Integer non velit.,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,suite,1,pequeño,371 Fairview Center,15,5
439,Praesent lectus.,Ut at dolor quis odio consequat varius. Integer ac leo.,suite,0,pequeño,5 Anzinger Plaza,1,4
440,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",suite,1,pequeño,24 Pawling Trail,10,6
441,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Proin at turpis a pede posuere nonummy. Integer non velit.,suite,0,pequeño,0387 Center Alley,5,3
442,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",semisuite,0,grande,316 Fisk Plaza,16,3
443,Suspendisse potenti. Nullam porttitor lacus at turpis.,Proin eu mi.,suite,0,pequeño,4 North Plaza,18,2
444,Fusce consequat.,Quisque ut erat. Curabitur gravida nisi at nibh.,semisuite,1,pequeño,8 Lakewood Terrace,13,4
445,Integer tincidunt ante vel ipsum.,Donec quis orci eget orci vehicula condimentum.,suite,0,pequeño,376 Coolidge Parkway,13,6
446,Praesent blandit lacinia erat.,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",suite,0,pequeño,54 Forster Hill,5,4
447,Nulla nisl.,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",estandar,1,mediano,887 Blackbird Pass,16,5
448,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Morbi non lectus.,estandar,0,pequeño,58245 Luster Crossing,11,5
449,Pellentesque at nulla. Suspendisse potenti.,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",suite,1,mediano,29851 Artisan Circle,10,3
450,Praesent blandit. Nam nulla.,Suspendisse potenti. In eleifend quam a odio.,semisuite,0,pequeño,389 Straubel Trail,5,6
451,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Proin interdum mauris non ligula pellentesque ultrices.,estandar,0,grande,0120 Burrows Avenue,18,6
452,Etiam pretium iaculis justo.,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",suite,1,pequeño,70282 Sloan Alley,6,4
453,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,semisuite,1,mediano,5 Arrowood Pass,3,5
454,Sed sagittis.,Nunc nisl.,suite,0,mediano,6744 Mcbride Hill,19,3
455,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",semisuite,1,grande,4 Fremont Parkway,15,4
456,Quisque id justo sit amet sapien dignissim vestibulum.,Aliquam erat volutpat. In congue.,semisuite,0,pequeño,2204 Kensington Avenue,4,5
457,Aenean auctor gravida sem.,Nulla ac enim.,semisuite,1,grande,3 Blackbird Point,11,3
458,Vestibulum rutrum rutrum neque.,Suspendisse potenti. Nullam porttitor lacus at turpis.,semisuite,1,mediano,5 Manufacturers Lane,17,2
459,Nunc rhoncus dui vel sem.,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",suite,0,grande,1 Fair Oaks Drive,12,3
460,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Aliquam non mauris.,suite,0,pequeño,66965 Hintze Avenue,4,6
461,Curabitur in libero ut massa volutpat convallis.,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,suite,1,mediano,2019 Sundown Parkway,6,3
462,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,Donec quis orci eget orci vehicula condimentum.,suite,1,grande,521 Dixon Center,13,3
463,Maecenas pulvinar lobortis est.,Sed accumsan felis.,semisuite,1,mediano,976 School Road,5,2
464,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,suite,0,grande,3525 Lakewood Circle,18,3
465,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,suite,0,grande,0815 Mayer Drive,12,6
466,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",semisuite,1,mediano,94734 Tomscot Avenue,5,2
467,Integer ac neque. Duis bibendum.,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,estandar,1,pequeño,2095 Buell Center,7,5
468,Mauris sit amet eros.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",suite,1,pequeño,28500 Homewood Center,7,4
469,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",estandar,1,pequeño,10248 Pierstorff Parkway,16,5
470,Pellentesque eget nunc.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,suite,0,grande,0804 Cody Junction,20,4
471,Integer a nibh. In quis justo.,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,semisuite,1,grande,2 Forest Circle,3,6
472,Sed vel enim sit amet nunc viverra dapibus.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",estandar,1,grande,1 Bunker Hill Street,8,5
473,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.","Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",semisuite,1,mediano,50 Gerald Parkway,7,2
474,Nulla tellus.,Mauris ullamcorper purus sit amet nulla.,semisuite,0,pequeño,4515 Tennessee Center,20,2
475,Proin interdum mauris non ligula pellentesque ultrices.,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,suite,0,pequeño,4 Nobel Lane,3,3
476,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Proin eu mi.,suite,1,grande,26 Steensland Circle,16,2
477,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Integer ac neque. Duis bibendum.,semisuite,0,mediano,835 Melvin Center,1,3
478,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Etiam vel augue.,estandar,0,mediano,66083 Holmberg Drive,13,5
479,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Pellentesque eget nunc.,suite,1,grande,8 Iowa Trail,18,4
